Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,Green,,BXP/Reform,,Ukip,,Con lead,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,BXP/Ref good,BXP/Ref bad,BXP/Ref net,Grn good,Grn bad,Grn net,Question,Con Best PM,Lab Best PM,LD Best PM,Green Best PM,BXP Best PM,Question,Govt good,Govt bad,Govt net,Question,Wisdom of crowds:,Con,Lab,LD
,May,22-26,22/5/20,26,Survation,,46.0,-2.0,33.0,2.0,8.0,0.0,4.0,-1.0,0.0,-1.0,,,13.0,-4.0,Internet,UK,,79.0,51.0,34.0,17.0,37.0,21.0,16.0,,,,,,,,,,To what extent do you think favourably or unfavourably towards…,48.0,31.0,,,,Which of the following party leaders do you think would make the best PM?,44.0,34.0,10.0,To what extent do you think favourably or unfavourably towards the performance of the Government?,,,,
,May,23-25,23/5/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,42.0,-5.0,Do you approve or disapprove of the Government's record to date?,,,,
,May,25-26,25/5/20,27,YouGov,TT,44.0,-4.0,38.0,5.0,6.0,0.0,4.0,-1.0,2.0,0.0,,,6.0,-9.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,26-27,26/5/20,29,YouGov,Datapraxis,43.0,,38.0,,6.0,,4.0,,3.0,,,,5.0,,Internet,,Non-standard question wording,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,27,27/5/20,27,R+W,,43.0,-4.0,37.0,2.0,9.0,0.0,3.0,0.0,,,,,6.0,-6.0,Internet,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,27-28,27/5/20,31,Deltapoll,MoS,43.0,,38.0,,8.0,,4.0,,2.0,,2.0,,5.0,,Internet,,,,54.0,44.0,10.0,47.0,27.0,20.0,,,,,,,,,,"Do you think they are doing very well in their job, quite well, quite badly or very badly?",,,,,,,,,,,,,,
,May,27,27/5/20,29,R+W,NS,,,,,,,,,,,,,,,Internet,,,,41.0,40.0,1.0,38.0,19.0,19.0,,,,,,,,,,To what extent do you approve or disapprove of X’s job performance in the last month?  ,,,,,,,,,,,,,,
,May,28-29,28/5/20,31,Opinium,Ob,43.0,-4.0,39.0,4.0,6.0,0.0,3.0,0.0,0.0,0.0,1.0,-1.0,4.0,-8.0,Internet,,,,37.0,42.0,-5.0,44.0,19.0,25.0,15.0,23.0,-8.0,22.0,42.0,-20.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,36.0,33.0,,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,
,May,29-30,29/5/20,1,YouGov,TT,45.0,1.0,35.0,-3.0,6.0,0.0,5.0,1.0,2.0,0.0,,,10.0,4.0,Internet,,,,43.0,49.0,-6.0,42.0,31.0,11.0,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,37.0,32.0,,,,Which of the following do you think would make the best PM?,,,,,,,,
,May,29-3,29/5/20,5,Ipsos,,,,,,,,,,,,,,,,Internet,,,,39.0,43.0,-4.0,36.0,26.0,10.0,,,,,,,,,,To what extent if at all do you have favourable or unfavourable opinion of…,,,,,,,,,,,,,,
,Jun,1-2,1/6/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,44.0,-9.0,Do you approve or disapprove of the Government's record to date?,,,,
,Jun,3,3/6/20,4,R+W,,43.0,0.0,36.0,-1.0,9.0,0.0,5.0,2.0,,,,,7.0,1.0,Internet,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,3,3/6/20,4,R+W,MailOnline,,,,,,,,,,,,,,,Internet,,,,41.0,42.0,-1.0,40.0,18.0,22.0,,,,,,,,,,To what extent do you approve or disapprove of X’s job performance in the last month?  ,,,,,,,,,,,,,,
,Jun,3,3/6/20,7,Survation,,41.0,-5.0,39.0,6.0,7.0,-1.0,4.0,0.0,1.0,1.0,,,2.0,-11.0,Internet,UK,,80.0,44.0,42.0,2.0,39.0,22.0,17.0,,,,,,,,,,To what extent do you think favourably or unfavourably towards…,44.0,35.0,,,,Which of the following party leaders do you think would make the best PM?,39.0,40.0,-1.0,To what extent do you think favourably or unfavourably towards the performance of the Government?,,,,
